,sr,dne,shannon,mad800,cytotrace,activity,netith
RERF-LC-MS,3.195978158355145,212.59506100760416,4.907911691089189,2.38156069296034,9.86364873108662,0.17503162946148676,5.722815749155224
RPMI-2650,3.0491496329485086,193.67568656594034,4.3860334900167555,0.8527715505058151,8.558579316885892,0.22565816023326205,6.059126949355952
QIMR-WIL,1.4341442978231589,179.56960084836476,4.371622436032123,0.61916864957024,8.96066117743397,0.2723459155848894,5.5681233241852
PC-3,1.585189056783812,-9.725734176812125,5.010537725395022,2.4605930775628844,9.704145709586408,0.15869240381793948,6.15735039205472
PL18,3.1385516605771766,11.748498748955,4.762092224450833,2.3431725600641142,9.59615226815413,0.12096809457320541,5.373757680601016
NCI-H1092,2.891671256448543,244.61037206042263,4.232397348709158,0.8987874278080352,8.93228737520326,0.32785138078255827,5.8551965659046745
NCI-H1573,3.1662319257202958,-87.47955618907451,4.7319997693846005,2.2754094564234446,9.78449791319517,0.16901654404193978,5.455494097945333
NCI-H1651,3.1401092293917916,-67.14871964412322,4.7316745358319965,2.1409913951160604,9.57548692777273,0.14626621329689637,6.069064784959913
RKN,3.0182367244311017,35.74483286025949,4.72517301529678,2.3963295502300657,9.534498292642297,0.2039053413329487,5.767511806862215
OSC-20,1.5042991652705506,-155.20016368693365,4.910410900223724,2.40794328109447,9.894838649678258,0.17930603932133055,5.880218012818364
PSN1,1.5121276548536293,153.3480373968633,4.74239974003855,2.385750063997145,9.666974977139143,0.22846467266766898,5.808160664203056
RF-48,1.5682071980365881,251.82523390468157,4.725830977562353,1.194244727547535,9.226641708753718,0.2953914382717616,5.392228084303489
